trajectory,x,y,se
main,0,0,0
main,0.1983471074380160,0.5764966740576480,0.7538802660753870
main,0.31735537190082600,6.075388026607540,5.365853658536590
main,0.43636363636363700,10.465631929046600,7.184035476718400
main,0.714049586776859,9.534368070953430,3.991130820399110
main,0.9520661157024790,9.356984478935700,2.305986696230600
main,1.3090909090909100,8.78048780487805,2.0842572062084200
main,1.586776859504130,7.804878048780490,2.0842572062084300
main,1.9834710743801700,7.0066518847006600,1.7294900221729500
main,2.4595041322314100,5.942350332594240,1.9955654101995600
main,3.0148760330578500,5.365853658536590,1.5964523281596500
main,4.006611570247940,4.745011086474500,1.3303769401330400
main,4.998347107438020,3.5033259423503300,1.286031042128600
main,6.0694214876033100,3.104212860310420,1.374722838137470
main,7.933884297520660,2.1729490022173000,0.7095343680709530
main,9.996694214876030,1.596452328159640,0.79822616407982
main,11.980165289256200,1.019955654101990,0.44345898004435100
main,23.880991735537200,0.13303769401330500,0